system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
baseline,train,0.998,0.994,0.996,0.997,0.991,0.994,0.972,0.993,0.982,0.989,0.992,0.991
baseline,dev,0.826,0.852,0.838,0.917,0.874,0.895,0.714,0.792,0.751,0.819,0.839,0.828
baseline,test,0.843,0.831,0.837,0.921,0.888,0.904,0.744,0.827,0.783,0.836,0.848,0.841
improved,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
improved,dev,0.933,0.903,0.918,0.878,0.825,0.851,0.934,0.96,0.947,0.915,0.896,0.905
improved,test,0.924,0.9,0.912,0.881,0.832,0.856,0.928,0.953,0.94,0.911,0.895,0.902
